paper_id,year,title,authors,venue,source
P2014A,2014,Education and Employment Pathways,Smith et al.,Demo Journal,demo
P2014B,2014,Employment and Income Dynamics,Chen et al.,Demo Journal,demo
P2015A,2015,Income Effects on Health Outcomes,Garcia et al.,Demo Journal,demo
P2015B,2015,Schooling Returns to Income,Patel et al.,Demo Journal,demo
P2016A,2016,Credit Frictions and Jobs,Ali et al.,Demo Journal,demo
P2016B,2016,Work and Productivity Link,Ito et al.,Demo Journal,demo
P2017A,2017,Productivity and Wages Evidence,Khan et al.,Demo Journal,demo
P2017B,2017,Innovation Impacts Productivity,Nguyen et al.,Demo Journal,demo
P2018A,2018,Education and Health Correlation,Diaz et al.,Demo Journal,demo
P2018B,2018,Finance Access and Income,Singh et al.,Demo Journal,demo
P2019A,2019,Income and Inequality Trends,Brown et al.,Demo Journal,demo
P2019B,2019,Inequality and Public Health,Lee et al.,Demo Journal,demo
P2020A,2020,Education and Inequality,Wilson et al.,Demo Journal,demo
P2020B,2020,Innovation and Earnings,Johnson et al.,Demo Journal,demo
P2021A,2021,Education and Productivity Spillovers,Clark et al.,Demo Journal,demo
P2021B,2021,Productivity and Health Channels,Rossi et al.,Demo Journal,demo
P2022A,2022,Credit and Productivity Expansion,Murphy et al.,Demo Journal,demo
P2022B,2022,Innovation and Employment Creation,Martin et al.,Demo Journal,demo
P2023A,2023,Innovation to Health Pathways,White et al.,Demo Journal,demo
P2023B,2023,Credit to Health via Income,Lopez et al.,Demo Journal,demo
P2024A,2024,Education to Credit Mechanisms,Walker et al.,Demo Journal,demo
P2024B,2024,Inequality and Employment Frictions,Hall et al.,Demo Journal,demo
