opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
economic growth -> financial fragility,O49 -> G51,"Economic development, innovation, and growth",Financial economics,Cross-field gap,0.493493373274838,0.4396700037722734,100,182,182
patents -> unemployment,O34 -> J64,"Economic development, innovation, and growth",Labor and demographic economics,Cross-field boundary,0.45160645608704203,0.2583024374866058,0,52,52
patents -> monetary policy,O34 -> E52,"Economic development, innovation, and growth",Macroeconomics and monetary economics,Cross-field boundary,0.4411900486851613,0.24599850948159668,0,39,39
legal reform -> growth,K41 -> O40,Law and economics,"Economic development, innovation, and growth",Cross-field boundary,0.4404752383210124,0.24205341341811765,0,46,46
patents -> demand shocks,O34 -> E39,"Economic development, innovation, and growth",Macroeconomics and monetary economics,Cross-field boundary,0.43745212171898584,0.2389600411955046,0,41,41
economic growth -> median voter preferences,O49 -> D79,"Economic development, innovation, and growth",Microeconomics,Cross-field gap,0.4352657712708036,0.33442112222085885,87,205,205
central bank independence -> growth rate,E58 -> O44,Macroeconomics and monetary economics,"Economic development, innovation, and growth",Cross-field boundary,0.4284092444139652,0.2272272589356365,0,34,34
monetary policy -> r&d investment,E52 -> O32,Macroeconomics and monetary economics,"Economic development, innovation, and growth",Cross-field boundary,0.4282427932301049,0.22780476888351142,0,31,31
antidumping measures -> innovation incentives,F18 -> O31,International economics,"Economic development, innovation, and growth",Cross-field boundary,0.42757153219065647,0.22880580835447123,0,27,27
patents -> systemic risk,O34 -> E44,"Economic development, innovation, and growth",Macroeconomics and monetary economics,Cross-field boundary,0.42668106023181934,0.22601371566664838,0,30,30
r&d investment -> monetary policy,O32 -> E52,"Economic development, innovation, and growth",Macroeconomics and monetary economics,Cross-field boundary,0.42393208816433736,0.22519661277193279,0,23,23
central bank independence -> patents,E58 -> O34,Macroeconomics and monetary economics,"Economic development, innovation, and growth",Cross-field boundary,0.4229821011671313,0.21794451830126266,0,36,36
patents -> minimum wage,O34 -> J38,"Economic development, innovation, and growth",Labor and demographic economics,Cross-field boundary,0.42275194940281147,0.22103173033381943,0,27,27
central bank independence -> r&d investment,E58 -> O32,Macroeconomics and monetary economics,"Economic development, innovation, and growth",Cross-field boundary,0.4215900690794579,0.21872149803968582,0,28,28
state policies -> innovation incentives,H79 -> O31,Public economics,"Economic development, innovation, and growth",Cross-field boundary,0.42158874518358813,0.21609445008156217,0,35,35
corporate income tax -> technological progress,K34 -> O39,Law and economics,"Economic development, innovation, and growth",Cross-field boundary,0.42154247668381556,0.22276749949772223,0,20,20
hegemony -> innovation incentives,F54 -> O31,International economics,"Economic development, innovation, and growth",Cross-field boundary,0.42150227797163575,0.21820768995800477,0,29,29
