rank,pair_key,prototype_object_family,prototype_route_label,prototype_shortlist_status,prototype_display_title,prototype_display_why,prototype_display_first_step,prototype_primary_mediators,prototype_source_title,source_node,target_node,score,supporting_path_count,mediator_count,motif_count,public_specificity_score,question_family,app_link,audit_decision,audit_main_reason,audit_better_formulation,audit_deterministic_implication
1,FG3C000053__FG3C002799,path_question,downrank_path_question,downrank,Through which nearby pathways might renewable portfolio standards shape green innovation?,"Nearby papers already suggest routes through carbon emissions, carbon emissions trading, and green bonds.",Treat this as a lower-priority path question unless stronger local support appears.,"['carbon emissions', 'carbon emissions trading', 'green bonds']",How might renewable portfolio standards change green innovation?,renewable portfolio standards,green innovation,0.184623,3,3,3,3.4018,renewable-portfolio-standards-green-innovation,/questions/#FG3C000053__FG3C002799,downrank,not_paper_shaped,reframe_as_path_question,require_more_path_support
2,FG3C000246__FG3C004338,path_question,promote_path_question,promote,Through which nearby pathways might international trade (trade flows) shape green growth?,"Nearby papers already suggest routes through trade openness, energy consumption, and export diversification.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['trade openness', 'energy consumption', 'export diversification']",How might international trade (trade flows) change green growth?,international trade (trade flows),green growth,0.183979,3,3,2,0.9029,international-trade-green-growth,/questions/#FG3C000246__FG3C004338,keep,not_paper_shaped,reframe_as_path_question,add_path_level_candidate_object
3,FG3C000028__FG3C004458,path_question,promote_path_question,promote,Through which nearby pathways might high-frequency trading shape prices?,"Nearby papers already suggest routes through liquidity, volatility, and adverse selection.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['liquidity', 'volatility', 'adverse selection']",How might high-frequency trading change prices?,high-frequency trading,prices,0.117237,4,4,4,4.0014,high-frequency-trading-prices,/questions/#FG3C000028__FG3C004458,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
4,FG3C000015__FG3C001452,path_question,promote_path_question,promote,Through which nearby pathways might foreign direct investments shape catastrophic health expenditures?,Nearby papers already suggest routes through income inequality and poverty.,Start with a short synthesis or pilot that follows the nearest mediating topics.,"['income inequality', 'poverty']",How might foreign direct investments change catastrophic health expenditures?,foreign direct investments,catastrophic health expenditures,0.115629,2,2,2,5.3025,foreign-direct-investments-catastrophic-health-expenditures,/questions/#FG3C000015__FG3C001452,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
5,FG3C000247__FG3C004458,path_question,promote_path_question,promote,Through which nearby pathways might high-frequency trading shape cost of capital?,"Nearby papers already suggest routes through market quality, high frequency traders, and stock liquidity.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['market quality', 'high frequency traders', 'stock liquidity']",How might high-frequency trading change cost of capital?,high-frequency trading,cost of capital,0.114434,4,4,4,6.5011,high-frequency-trading-cost-of-capital,/questions/#FG3C000247__FG3C004458,keep,promising_as_is,reframe_as_path_question,add_path_level_candidate_object
6,FG3C000013__FG3C002623,path_question,promote_path_question,promote,Through which nearby pathways might U.S. economic policy uncertainty shape technological innovation?,"Nearby papers already suggest routes through natural resource rents, trade policy uncertainty, and China stock market.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['natural resource rents', 'trade policy uncertainty', 'China stock market']",How might U.S. economic policy uncertainty change technological innovation?,U.S. economic policy uncertainty,technological innovation,0.11315,4,4,4,4.0014,u-s-economic-policy-uncertainty-technological-innovation,/questions/#FG3C000013__FG3C002623,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
7,FG3C000061__FG3C000425,path_question,promote_path_question,promote,Through which nearby pathways might digital inclusive finance shape total factor productivity (TFP)?,"Nearby papers already suggest routes through technological innovation, financing constraints, and technological progress.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['technological innovation', 'financing constraints', 'technological progress']",How might digital inclusive finance change total factor productivity (TFP)?,digital inclusive finance,total factor productivity (TFP),0.112851,17,17,16,6.8086,digital-inclusive-finance-total-factor-productivity,/questions/#FG3C000061__FG3C000425,keep,promising_as_is,reframe_as_path_question,require_more_path_support
8,FG3C000015__FG3C000176,path_question,promote_path_question,promote,Through which nearby pathways might foreign direct investments shape real wages?,"Nearby papers already suggest routes through productivity, capital stock, and exports.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['productivity', 'capital stock', 'exports']",How might foreign direct investments change real wages?,foreign direct investments,real wages,0.112492,11,11,9,0.707,foreign-direct-investments-real-wages,/questions/#FG3C000015__FG3C000176,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
9,FG3C000132__FG3C002438,path_question,promote_path_question,promote,Through which nearby pathways might Special economic zones shape inequality?,"Nearby papers already suggest routes through environmental pollution, structural changes, and economic development.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['environmental pollution', 'structural changes', 'economic development']",How might Special economic zones change inequality?,Special economic zones,inequality,0.112296,5,5,6,4.6008,special-economic-zones-inequality,/questions/#FG3C000132__FG3C002438,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
10,FG3C000100__FG3C004458,path_question,promote_path_question,promote,Through which nearby pathways might high-frequency trading shape investor sentiment?,"Nearby papers already suggest routes through liquidity, volatility, and market returns.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['liquidity', 'volatility', 'market returns']",How might high-frequency trading change investor sentiment?,high-frequency trading,investor sentiment,0.111043,4,4,4,4.0012,high-frequency-trading-investor-sentiment,/questions/#FG3C000100__FG3C004458,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_mediator_expansion_object
11,FG3C000811__FG3C003802,mediator_question,downrank_mediator_question,downrank,Which nearby mechanisms most plausibly link high frequency traders to expected stock returns?,"The main open question is which channel does the work: media coverage, liquidity commonality, and volatility.",Keep this in reserve until one mechanism stands out more clearly.,"['media coverage', 'liquidity commonality', 'volatility']",How might high frequency traders change expected stock returns?,high frequency traders,expected stock returns,0.111,5,5,5,7.1018,high-frequency-traders-expected-stock-returns,/questions/#FG3C000811__FG3C003802,downrank,should_be_mediator_expansion,reframe_as_mediator_question,add_mediator_expansion_object
12,FG3C000089__FG3C000215,path_question,promote_path_question,promote,Through which nearby pathways might R&D investment shape green total factor productivity (GTFP)?,"Nearby papers already suggest routes through green innovation, technological innovation, and green technology innovation.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['green innovation', 'technological innovation', 'green technology innovation']",How might R&D investment change green total factor productivity (GTFP)?,R&D investment,green total factor productivity (GTFP),0.110851,21,21,21,8.641,r-d-investment-green-total-factor-productivity,/questions/#FG3C000089__FG3C000215,keep,promising_as_is,reframe_as_path_question,add_path_level_candidate_object
13,FG3C000215__FG3C005708,path_question,promote_path_question,promote,Through which nearby pathways might intellectual property rights (IPR) protection shape green total factor productivity (GTFP)?,"Nearby papers already suggest routes through foreign direct investments, innovation outcomes, and research and development (R&D).",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['foreign direct investments', 'innovation outcomes', 'research and development (R&D)']",How might intellectual property rights (IPR) protection change green total factor productivity (GTFP)?,intellectual property rights (IPR) protection,green total factor productivity (GTFP),0.109631,3,3,3,5.9024,intellectual-property-rights-protection-green-total-factor-productivity,/questions/#FG3C000215__FG3C005708,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
14,FG3C000015__FG3C000271,mediator_question,promote_mediator_question,promote,Which nearby mechanisms most plausibly link foreign direct investments to life expectancy?,"The main open question is which channel does the work: CO2 emissions, carbon emissions, and renewable energy consumption.",Start by testing which nearby channel carries the effect.,"['CO2 emissions', 'carbon emissions', 'renewable energy consumption']",How might foreign direct investments change life expectancy?,foreign direct investments,life expectancy,0.109594,14,14,13,2.5899,foreign-direct-investments-life-expectancy,/questions/#FG3C000015__FG3C000271,keep,promising_as_is,reframe_as_mediator_question,add_mediator_expansion_object
15,FG3C000011__FG3C000013,path_question,promote_path_question,promote,Through which nearby pathways might technological innovation shape output?,"Nearby papers already suggest routes through renewable energy consumption, CO2 emissions, and energy consumption.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['renewable energy consumption', 'CO2 emissions', 'energy consumption']",How might technological innovation change output?,technological innovation,output,0.109299,17,17,16,1.8312,technological-innovation-output,/questions/#FG3C000011__FG3C000013,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
16,FG3C000022__FG3C002438,path_question,promote_path_question,promote,Through which nearby pathways might Special economic zones shape wages?,"Nearby papers already suggest routes through migration, accessibility, and technological progress.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['migration', 'accessibility', 'technological progress']",How might Special economic zones change wages?,Special economic zones,wages,0.108561,6,6,6,5.2025,special-economic-zones-wages,/questions/#FG3C000022__FG3C002438,keep,promising_as_is,reframe_as_path_question,require_more_path_support
17,FG3C000071__FG3C000215,path_question,promote_path_question,promote,Through which nearby pathways might economic policy uncertainty shape green total factor productivity (GTFP)?,"Nearby papers already suggest routes through green innovation, technical efficiency, and green technological innovation.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['green innovation', 'technical efficiency', 'green technological innovation']",How might economic policy uncertainty change green total factor productivity (GTFP)?,economic policy uncertainty,green total factor productivity (GTFP),0.108259,20,20,20,8.612,economic-policy-uncertainty-green-total-factor-productivity,/questions/#FG3C000071__FG3C000215,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
18,FG3C000499__FG3C002487,path_question,promote_path_question,promote,Through which nearby pathways might free trade agreements shape skill premium?,"Nearby papers already suggest routes through trade liberalization, developing countries, and market access.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['trade liberalization', 'developing countries', 'market access']",How might free trade agreements change skill premium?,free trade agreements,skill premium,0.108222,3,3,3,3.4032,free-trade-agreements-skill-premium,/questions/#FG3C000499__FG3C002487,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
19,FG3C000031__FG3C002438,path_question,promote_path_question,promote,Through which nearby pathways might Special economic zones shape transaction costs?,"Nearby papers already suggest routes through migration, house prices, and firms.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['migration', 'house prices', 'firms']",How might Special economic zones change transaction costs?,Special economic zones,transaction costs,0.107971,5,5,5,4.6008,special-economic-zones-transaction-costs,/questions/#FG3C000031__FG3C002438,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
20,FG3C000013__FG3C002799,path_question,promote_path_question,promote,Through which nearby pathways might renewable portfolio standards shape technological innovation?,"Nearby papers already suggest routes through carbon emissions, feed-in tariff, and carbon emissions trading.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['carbon emissions', 'feed-in tariff', 'carbon emissions trading']",How might renewable portfolio standards change technological innovation?,renewable portfolio standards,technological innovation,0.107625,3,3,3,3.4016,renewable-portfolio-standards-technological-innovation,/questions/#FG3C000013__FG3C002799,keep,promising_as_is,reframe_as_path_question,add_path_level_candidate_object
21,FG3C000051__FG3C000753,path_question,downrank_path_question,downrank,Through which nearby pathways might high-speed rail shape house prices?,"Nearby papers already suggest routes through tourism, air quality, and urban growth.",Treat this as a lower-priority path question unless stronger local support appears.,"['tourism', 'air quality', 'urban growth']",How might high-speed rail change house prices?,high-speed rail,house prices,0.107422,12,12,12,1.306,high-speed-rail-house-prices,/questions/#FG3C000051__FG3C000753,downrank,not_paper_shaped,reframe_as_path_question,require_more_path_support
22,FG3C000004__FG3C005928,mediator_question,promote_mediator_question,promote,Which nearby mechanisms most plausibly link negative news sentiment to welfare?,"The main open question is which channel does the work: liquidity, size of government, and uncertainty.",Start by testing which nearby channel carries the effect.,"['liquidity', 'size of government', 'uncertainty']",How might negative news sentiment change welfare?,negative news sentiment,welfare,0.107184,4,4,5,4.0012,negative-news-sentiment-welfare,/questions/#FG3C000004__FG3C005928,keep,should_be_path_level_not_direct_edge,reframe_as_mediator_question,add_mediator_expansion_object
